number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
73,110.7,2026-02-06 08:16:04.269992,2026-02-06 08:17:34.473126,0 days 00:01:30.203134,-1.647585540631747,3.3677449308079748,0.000562687892016674,0.0003254327043652439,COMPLETE
74,125.16,2026-02-06 08:17:34.476339,2026-02-06 08:19:05.116623,0 days 00:01:30.640284,-1.7436420988039907,4.963859642123655,0.0003716194153616519,0.00022065582731813354,COMPLETE
75,103.47999999999999,2026-02-06 08:19:05.119857,2026-02-06 08:20:35.426898,0 days 00:01:30.307041,-1.875886858495946,3.7357568853954715,1.0256088443165075e-05,0.0007069510948796424,COMPLETE
76,119.85999999999999,2026-02-06 08:20:35.430284,2026-02-06 08:22:05.616243,0 days 00:01:30.185959,-1.3318263346847607,4.595577543104947,0.00026998874090208044,0.0002908320829704053,COMPLETE
77,104.44000000000001,2026-02-06 08:22:05.619575,2026-02-06 08:23:36.530733,0 days 00:01:30.911158,-1.4613813434667926,3.147718650432427,0.0016421447877755034,0.0004031999648751971,COMPLETE
78,129.42000000000002,2026-02-06 08:23:36.533788,2026-02-06 08:25:06.729682,0 days 00:01:30.195894,-1.016379246095185,3.9267333071865433,0.008240833104959428,0.0005193821378468123,COMPLETE
79,118.47999999999999,2026-02-06 08:25:06.733113,2026-02-06 08:26:37.334567,0 days 00:01:30.601454,-0.7153631957264093,3.9752020271664965,0.008016513285562195,0.000607723261070272,COMPLETE
80,96.46000000000001,2026-02-06 08:26:37.337978,2026-02-06 08:28:08.049850,0 days 00:01:30.711872,-0.9873345552225306,3.5319045241616154,0.00357999290399439,0.0005036710091600153,COMPLETE
81,115.6,2026-02-06 08:28:08.053571,2026-02-06 08:29:38.416797,0 days 00:01:30.363226,-1.1907546300928598,4.311496938968501,0.0052276568666495505,0.0003407060231971053,COMPLETE
82,106.8,2026-02-06 08:29:38.420321,2026-02-06 08:31:09.052177,0 days 00:01:30.631856,-1.0485728740337419,4.823870541164839,0.00984095795052725,0.00023944831473982713,COMPLETE
83,125.2,2026-02-06 08:31:09.055575,2026-02-06 08:32:40.810342,0 days 00:01:31.754767,-0.20931392755504252,4.188963228601106,0.007033566191762517,0.0007520653153473353,COMPLETE
84,95.66,2026-02-06 08:32:40.813433,2026-02-06 08:34:11.774848,0 days 00:01:30.961415,-1.5764070749021624,3.903290000758233,0.0005639380832687754,0.0001685351941213714,COMPLETE
85,116.8,2026-02-06 08:34:11.777993,2026-02-06 08:35:42.737718,0 days 00:01:30.959725,-1.7739234985357004,4.5327962097829655,0.002452984642271554,0.0005769334814551564,COMPLETE
86,129.21999999999997,2026-02-06 08:35:42.740907,2026-02-06 08:37:13.799444,0 days 00:01:31.058537,-0.39008823637651857,2.5749837484828713,0.0018456781823310935,0.0008364666041894008,COMPLETE
87,111.66000000000001,2026-02-06 08:37:13.802597,2026-02-06 08:38:45.247544,0 days 00:01:31.444947,-0.3806868675734906,2.2558038987134594,0.004537438304590207,0.0009318836077408957,COMPLETE
88,133.1,2026-02-06 08:38:45.250617,2026-02-06 08:40:17.249133,0 days 00:01:31.998516,-0.06162374890346961,4.118729601582836,0.001976714602833371,0.0008545913892754473,COMPLETE
89,129.56,2026-02-06 08:40:17.252443,2026-02-06 08:41:52.713239,0 days 00:01:35.460796,-0.0967440927046172,4.066836749023078,6.919751195192601e-05,0.00019103778026617328,COMPLETE
90,105.58,2026-02-06 08:41:52.716437,2026-02-06 08:43:25.727357,0 days 00:01:33.010920,-0.05875638518245706,4.1161910407463225,4.7748817575675906e-05,0.00012565327003421885,COMPLETE
91,137.23999999999998,2026-02-06 08:43:25.730959,2026-02-06 08:44:55.715428,0 days 00:01:29.984469,-0.164076044742116,4.417283062068129,7.419271642230201e-05,0.0001962643295226646,COMPLETE
92,122.1,2026-02-06 08:44:55.718867,2026-02-06 08:46:25.439460,0 days 00:01:29.720593,-0.16763708187573167,4.424414634261048,7.105776598613149e-05,0.000194491389944144,COMPLETE
93,130.14000000000001,2026-02-06 08:46:25.442836,2026-02-06 08:47:54.969620,0 days 00:01:29.526784,-0.0580689824636499,4.665203664198405,2.8684239652028076e-05,0.00015148217356394613,COMPLETE
94,130.32,2026-02-06 08:47:54.972937,2026-02-06 08:49:24.602586,0 days 00:01:29.629649,-0.050129831614931966,4.718927353970691,2.628411575184746e-05,0.00015637679897941766,COMPLETE
95,112.7,2026-02-06 08:49:24.606051,2026-02-06 08:50:57.810221,0 days 00:01:33.204170,-0.05056854781838998,4.6335617417964325,2.8922675873542373e-05,0.0001564083452330275,COMPLETE
96,124.02000000000001,2026-02-06 08:50:57.813260,2026-02-06 08:52:30.642072,0 days 00:01:32.828812,-0.14070384637872774,4.707711789964582,2.8996957189939708e-05,0.00013770864535893126,COMPLETE
97,109.8,2026-02-06 08:52:30.645350,2026-02-06 08:54:01.833283,0 days 00:01:31.187933,-0.23878488297279887,4.910145183112139,1.5053297755523455e-05,0.00010137244353209802,COMPLETE
98,109.52000000000001,2026-02-06 08:54:01.836633,2026-02-06 08:55:32.679413,0 days 00:01:30.842780,-0.04870741262875591,4.506593219673202,2.4423795834246637e-05,7.84016154423059e-05,COMPLETE
99,117.14000000000001,2026-02-06 08:55:32.682636,2026-02-06 08:57:06.003203,0 days 00:01:33.320567,-0.14614537062572597,4.295570059654167,3.701656632703963e-05,0.00025078602421343244,COMPLETE
