number,value,datetime_start,datetime_complete,duration,params_PENALTY_STAGNATION,params_REWARD_DISTANCE_COEFF,params_REWARD_SURVIVAL,params_ent_coef,params_lr,state
85,179.9,2026-02-03 14:51:25.649636,2026-02-03 14:54:01.260593,0 days 00:02:35.610957,-0.5608773990614033,0.14350717233485094,0.46919749195354027,0.0005358641488549793,0.00011673026263447863,COMPLETE
86,124.8,2026-02-03 14:54:01.263722,2026-02-03 14:56:44.483118,0 days 00:02:43.219396,-0.5642353585540167,0.13904596034446798,0.4510738005974959,0.0005200943284669042,0.00011728333327520607,COMPLETE
87,139.65,2026-02-03 14:56:44.486486,2026-02-03 14:59:23.153205,0 days 00:02:38.666719,-0.5048383210994376,0.14211276322642266,0.46747689510551493,0.0008738984035957406,0.0001210071265325599,COMPLETE
88,95.25,2026-02-03 14:59:23.156889,2026-02-03 15:02:01.622917,0 days 00:02:38.466028,-0.9395154542766706,0.12020139596528504,0.4788588729436457,0.0006273311148983487,0.0001341036264435851,COMPLETE
89,139.0,2026-02-03 15:02:01.626415,2026-02-03 15:04:52.158157,0 days 00:02:50.531742,-0.7900941738151459,0.13382063851858703,0.458801304563937,0.0007064951165494494,0.00014348492155358232,COMPLETE
90,142.35,2026-02-03 15:04:52.163040,2026-02-03 15:07:46.801201,0 days 00:02:54.638161,-0.40832103470611736,0.12772515956842387,0.4894957529941293,0.0004254137248611457,0.00014999497761440428,COMPLETE
91,110.45,2026-02-03 15:07:46.805241,2026-02-03 15:10:37.769176,0 days 00:02:50.963935,-0.5295493391891948,0.14384814214383562,0.41136079700587563,0.0001250896184335083,0.00013076424947855897,COMPLETE
92,225.55,2026-02-03 15:10:37.772622,2026-02-03 15:13:32.412789,0 days 00:02:54.640167,-0.6004711179088439,0.14939274831729732,0.4698947940791395,0.00046702152690898094,0.00010748318420395051,COMPLETE
93,149.8,2026-02-03 15:13:32.416598,2026-02-03 15:16:17.675378,0 days 00:02:45.258780,-0.610034020107652,0.1550738796811886,0.44979279779555,0.0005318930886086009,0.00010715862157114177,COMPLETE
94,140.95,2026-02-03 15:16:17.678969,2026-02-03 15:19:09.566398,0 days 00:02:51.887429,-0.636717609745417,0.1589365991338575,0.4703963222026036,0.0003901648622619758,0.00011918032916324392,COMPLETE
95,165.55,2026-02-03 15:19:09.569759,2026-02-03 15:21:55.153021,0 days 00:02:45.583262,-0.5732701583046742,0.14605541879642567,0.4616312277686756,0.0001530655866583477,0.00010597258762087552,COMPLETE
96,143.5,2026-02-03 15:21:55.156252,2026-02-03 15:24:42.921057,0 days 00:02:47.764805,-0.7450816625152006,0.12363442111606894,0.44041546174149626,0.0004537665948215641,0.0001243362822898791,COMPLETE
97,94.5,2026-02-03 15:24:42.924713,2026-02-03 15:27:25.310623,0 days 00:02:42.385910,-0.5923610761694067,0.15201904540666084,0.49343668890782255,0.0003373707111641767,0.00011448134703541157,COMPLETE
98,149.64999999999998,2026-02-03 15:27:25.314030,2026-02-03 15:30:10.405944,0 days 00:02:45.091914,-0.7024269115289988,0.13796764478419893,0.4777173562813633,0.0004145793085915002,0.00011469566467867263,COMPLETE
99,135.75,2026-02-03 15:30:10.421115,2026-02-03 15:32:53.423287,0 days 00:02:43.002172,-0.37785993520147537,0.13511946630790667,0.455125284253028,0.0005874654121142736,0.00017764700366056929,COMPLETE
100,115.0,2026-02-03 15:32:53.426656,2026-02-03 15:35:37.588896,0 days 00:02:44.162240,-0.8437145013171389,0.14114688226232444,0.4713571098335193,0.000938787204826688,0.00019708500345766298,COMPLETE
101,132.0,2026-02-03 15:35:37.592252,2026-02-03 15:38:18.283890,0 days 00:02:40.691638,-0.6511984785067662,0.13143989689987318,0.46482226667554,0.000496339605863872,0.0001592631499835365,COMPLETE
